Date,EUR/JPY,USD/NOK,USD/ZAR,RUB/USD,NOK/SEK,NZD/JPY,AUD/NZD,EUR/USD,GBP/JPY,GBP/CHF,GBP/USD,USD/AUD
19/05/2000,96.04,9.0953,7.1728,0.0353,1.0058,48.84,1.2573,0.906,159.18,2.5689,1.4874,0.5734
22/05/2000,96.69,9.1253,7.1152,0.0353,1.0099,49.02,1.2493,0.9117,159.77,2.5681,1.4915,0.5735
23/05/2000,96.62,9.1242,7.0953,0.0353,1.0078,48.95,1.251,0.9128,157.31,2.5447,1.4771,0.5743
24/05/2000,97.3,9.1591,7.105,0.0353,1.0054,48.87,1.2582,0.9139,158.82,2.5442,1.474,0.5712
25/05/2000,97.94,9.0366,7.1602,0.0353,1.0105,48.64,1.2548,0.9192,157.91,2.5202,1.4708,0.5699
26/05/2000,99.71,8.9453,7.1178,0.0353,1.0103,49.18,1.2501,0.9383,159.54,2.5053,1.4899,0.5723
30/05/2000,99.09,8.9581,6.995,0.0354,1.0069,48.95,1.2532,0.9388,159.57,2.5257,1.4977,0.5774
31/05/2000,100.97,8.8624,6.9675,0.0354,1.0089,49.3,1.2509,0.9427,161.63,2.5239,1.5014,0.5728
01/06/2000,101.09,8.9233,6.98,0.0353,1.0029,49.62,1.2505,0.9393,162.22,2.5216,1.4949,0.5727
02/06/2000,102.27,8.775,6.9377,0.0352,1.0021,50.25,1.2479,0.9486,163.19,2.5122,1.5103,0.5791
05/06/2000,101.73,8.7404,6.9053,0.0353,1.0066,50.23,1.2437,0.9549,163.08,2.5221,1.5193,0.5827
06/06/2000,101.03,8.68,6.9503,0.0353,1.0059,49.9,1.2473,0.9613,161.78,2.516,1.5286,0.5896
07/06/2000,101.36,8.6102,6.985,0.0353,1.0047,49.9,1.2533,0.9677,160.39,2.4817,1.5225,0.5927
08/06/2000,101.4,8.7021,7.045,0.0354,1.0051,49.77,1.2547,0.9627,160.17,2.4739,1.5103,0.5889
09/06/2000,101.91,8.7145,7.01,0.0353,1.0012,50.11,1.2538,0.9597,161.26,2.4769,1.5085,0.5865
12/06/2000,101.87,8.7142,7.0252,0.0353,0.9978,50.36,1.2549,0.9593,161.69,2.479,1.5135,0.5915
13/06/2000,102.55,8.6532,7.0125,0.0353,0.9943,50.56,1.2613,0.9664,161.04,2.4534,1.5062,0.5971
14/06/2000,102.09,8.6054,6.9275,0.0353,0.9899,50.55,1.2646,0.9662,159.8,2.4463,1.499,0.6006
15/06/2000,101.62,8.6243,6.89,0.0353,0.998,50.05,1.282,0.9591,160.93,2.4734,1.5114,0.6029
16/06/2000,102.66,8.5508,6.8295,0.0353,1.0086,50.78,1.2703,0.971,161.29,2.4513,1.5157,0.6069
19/06/2000,101.35,8.6239,6.86,0.0353,1.0016,50.16,1.2703,0.9646,160.04,2.4648,1.5115,0.601
20/06/2000,100.76,8.6168,6.8975,0.0354,1.0031,50.19,1.269,0.9686,160.26,2.4726,1.518,0.6053
21/06/2000,99.71,8.7082,6.92,0.0354,1,50.15,1.267,0.9555,158.3,2.4588,1.4986,0.6043
22/06/2000,97.89,8.7598,6.9225,0.0355,1.0094,49.17,1.2688,0.9481,158.22,2.5028,1.5128,0.5974
23/06/2000,98.07,8.7467,6.8875,0.0355,1.0132,49.27,1.2645,0.9463,157.22,2.4874,1.5006,0.5951
26/06/2000,99,8.7716,6.8825,0.0356,1.0181,49.8,1.266,0.9482,158.22,2.4734,1.4975,0.5978
27/06/2000,99.63,8.6813,6.8125,0.0356,1.0183,49.66,1.2769,0.9566,158.67,2.4632,1.5065,0.6029
28/06/2000,99.47,8.6795,6.8045,0.0357,1.0257,49.47,1.2857,0.9531,159.84,2.4915,1.5133,0.6034
29/06/2000,100.25,8.5846,6.825,0.0356,1.0299,49.2,1.2846,0.9619,159.85,2.4838,1.5185,0.6035
30/06/2000,101.06,8.6006,6.78,0.0357,1.0219,49.67,1.2731,0.9633,160.97,2.4797,1.5172,0.598
03/07/2000,100.44,8.6133,6.81,0.0356,1.0235,49.28,1.2828,0.9604,159.97,2.4776,1.5137,0.6002
